SupplierID,DemanderID,SupplyAmount
1,35,129885.65384615386
1,45,129885.65384615386
1,83,129885.65384615386
1,49,129885.65384615386
1,77,129885.65384615386
1,88,129885.65384615386
1,37,129885.65384615386
1,39,129885.65384615386
1,38,129885.65384615386
1,52,129885.65384615386
1,65,129885.65384615386
1,55,129885.65384615386
1,81,129885.65384615386
1,48,129885.65384615386
1,58,129885.65384615386
1,27,129885.65384615386
1,40,129885.65384615386
1,86,129885.65384615386
1,72,129885.65384615386
1,70,129885.65384615386
1,87,129885.65384615386
1,84,129885.65384615386
1,46,129885.65384615386
1,64,129885.65384615386
1,67,129885.65384615386
1,33,129885.65384615386
1,57,129885.65384615386
1,50,129885.65384615386
1,60,129885.65384615386
1,75,129885.65384615386
1,90,129885.65384615386
1,61,129885.65384615386
1,44,129885.65384615386
1,31,129885.65384615386
1,43,129885.65384615386
1,68,129885.65384615386
1,63,129885.65384615386
1,56,129885.65384615386
1,32,129885.65384615386
1,36,129885.65384615386
1,92,129885.65384615386
1,54,129885.65384615386
1,28,129885.65384615386
1,47,129885.65384615386
1,91,129885.65384615386
1,71,129885.65384615386
1,80,129885.65384615386
1,41,129885.65384615386
1,69,129885.65384615386
9,79,190159.38461538462
9,66,190159.38461538462
9,26,190159.38461538462
9,29,190159.38461538462
9,35,190159.38461538462
9,88,190159.38461538462
9,42,190159.38461538462
9,83,190159.38461538462
9,62,190159.38461538462
9,34,190159.38461538462
9,37,190159.38461538462
9,45,190159.38461538462
9,27,190159.38461538462
9,85,190159.38461538462
9,40,190159.38461538462
9,70,190159.38461538462
9,59,190159.38461538462
9,89,190159.38461538462
9,39,190159.38461538462
9,82,190159.38461538462
9,51,190159.38461538462
9,76,190159.38461538462
9,48,190159.38461538462
9,58,190159.38461538462
9,73,190159.38461538462
9,86,190159.38461538462
9,53,190159.38461538462
9,87,190159.38461538462
9,64,190159.38461538462
9,78,190159.38461538462
9,74,190159.38461538462
9,77,190159.38461538462
9,30,190159.38461538462
9,57,190159.38461538462
9,65,190159.38461538462
9,90,190159.38461538462
9,81,190159.38461538462
9,61,190159.38461538462
9,49,190159.38461538462
9,52,190159.38461538462
9,55,190159.38461538462
9,72,190159.38461538462
9,38,190159.38461538462
9,44,190159.38461538462
9,84,190159.38461538462
9,43,190159.38461538462
9,33,190159.38461538462
9,46,190159.38461538462
9,63,190159.38461538462
9,56,190159.38461538462
9,60,190159.38461538462
9,67,190159.38461538462
9,32,190159.38461538462
9,50,190159.38461538462
9,75,190159.38461538462
9,92,190159.38461538462
9,28,190159.38461538462
9,54,190159.38461538462
9,47,190159.38461538462
9,31,190159.38461538462
9,91,190159.38461538462
9,36,190159.38461538462
9,68,190159.38461538462
9,71,190159.38461538462
9,80,190159.38461538462
9,41,190159.38461538462
9,69,190159.38461538462
7,45,3922037.4230769235
7,26,3922037.4230769235
7,88,3922037.4230769235
7,37,3922037.4230769235
7,29,3922037.4230769235
7,62,3922037.4230769235
7,39,3922037.4230769235
7,58,3922037.4230769235
7,86,3922037.4230769235
7,27,3922037.4230769235
7,48,3922037.4230769235
7,66,3922037.4230769235
7,79,3922037.4230769235
7,35,3922037.4230769235
7,87,3922037.4230769235
7,34,3922037.4230769235
7,40,3922037.4230769235
7,83,3922037.4230769235
7,70,3922037.4230769235
7,64,3922037.4230769235
7,57,3922037.4230769235
7,85,3922037.4230769235
7,42,3922037.4230769235
7,51,3922037.4230769235
7,59,3922037.4230769235
7,90,3922037.4230769235
7,61,3922037.4230769235
7,76,3922037.4230769235
7,89,3922037.4230769235
7,73,3922037.4230769235
7,82,3922037.4230769235
7,53,3922037.4230769235
7,63,3922037.4230769235
7,44,3922037.4230769235
7,43,3922037.4230769235
7,78,3922037.4230769235
7,74,3922037.4230769235
7,77,3922037.4230769235
7,30,3922037.4230769235
7,56,3922037.4230769235
7,47,3922037.4230769235
7,32,3922037.4230769235
7,65,3922037.4230769235
7,81,3922037.4230769235
7,49,3922037.4230769235
7,52,3922037.4230769235
7,55,3922037.4230769235
7,92,3922037.4230769235
7,72,3922037.4230769235
7,28,3922037.4230769235
7,54,3922037.4230769235
7,38,3922037.4230769235
7,84,3922037.4230769235
7,33,3922037.4230769235
7,46,3922037.4230769235
7,91,3922037.4230769235
7,60,3922037.4230769235
7,67,3922037.4230769235
7,50,3922037.4230769235
7,71,3922037.4230769235
7,75,3922037.4230769235
7,80,3922037.4230769235
7,41,3922037.4230769235
7,31,3922037.4230769235
7,36,3922037.4230769235
7,68,3922037.4230769235
7,69,3922037.4230769235
17,77,169785.1730769231
17,53,169785.1730769231
17,76,169785.1730769231
17,65,169785.1730769231
17,81,169785.1730769231
17,51,169785.1730769231
17,78,169785.1730769231
17,49,169785.1730769231
17,85,169785.1730769231
17,34,169785.1730769231
17,38,169785.1730769231
17,33,169785.1730769231
17,59,169785.1730769231
17,73,169785.1730769231
17,82,169785.1730769231
17,60,169785.1730769231
17,52,169785.1730769231
17,66,169785.1730769231
17,62,169785.1730769231
17,74,169785.1730769231
17,30,169785.1730769231
17,72,169785.1730769231
17,26,169785.1730769231
17,89,169785.1730769231
17,55,169785.1730769231
17,79,169785.1730769231
17,45,169785.1730769231
17,46,169785.1730769231
17,39,169785.1730769231
17,29,169785.1730769231
17,50,169785.1730769231
17,84,169785.1730769231
17,42,169785.1730769231
17,67,169785.1730769231
17,35,169785.1730769231
17,88,169785.1730769231
17,37,169785.1730769231
17,58,169785.1730769231
17,87,169785.1730769231
17,36,169785.1730769231
17,48,169785.1730769231
17,27,169785.1730769231
17,40,169785.1730769231
